dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1489881600,2017-03-19 00:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,299.4,300.63,299.15,300.15,1022,,,56,1.5,200,,,,,1,800,Clear,sky is clear,01d
1489885200,2017-03-19 01:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,297.13,297.21,295.15,298.368,1023,,,57,2.16,139,,,,,20,801,Clouds,few clouds,02n
1489888800,2017-03-19 02:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,296.54,297.61,295.15,297.846,1023,,,65,1.54,160,,,,,40,802,Clouds,scattered clouds,03n
1489892400,2017-03-19 03:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,295.35,295.98,294.693,296.15,1024,,,73,2.57,0,,,,,75,803,Clouds,broken clouds,04n
1489896000,2017-03-19 04:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,295.16,295.72,294.15,296.15,1024,,,73,2.57,180,,,,,90,804,Clouds,overcast clouds,04n
1489899600,2017-03-19 05:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.83,294.33,293.15,294.25,1024,,,83,3.09,180,,,,,90,804,Clouds,overcast clouds,04n
1489903200,2017-03-19 06:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.19,294.12,292.15,294.15,1024,,,83,2.1,0,,,,,1,800,Clear,sky is clear,01n
1489906800,2017-03-19 07:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,292.07,293.04,291.15,292.55,1024,,,94,2.57,200,,,,,1,800,Clear,sky is clear,01n
1489910400,2017-03-19 08:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.86,293.03,291.15,292.15,1024,,,88,1.54,190,,,,,20,801,Clouds,few clouds,02n
1489914000,2017-03-19 09:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.31,292.68,291.15,291.622,1024,,,94,1.54,190,,,,,75,803,Clouds,broken clouds,04n
1489917600,2017-03-19 10:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.79,292.57,290.81,292.55,1023,,,88,2.06,0,,,,,90,804,Clouds,overcast clouds,04n
1489921200,2017-03-19 11:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.97,293.19,291.15,292.55,1024,,,88,1.54,0,,,,,90,804,Clouds,overcast clouds,04n
1489924800,2017-03-19 12:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,292.06,292.85,291.735,292.15,1024,,,87,2.1,0,,,,,90,804,Clouds,overcast clouds,04n
1489928400,2017-03-19 13:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,292.27,293.24,291.981,292.55,1024,,,88,2.06,0,,,,,90,804,Clouds,overcast clouds,04d
1489932000,2017-03-19 14:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,292.97,294.21,292.074,294.15,1025,,,83,1.54,200,,,,,90,804,Clouds,overcast clouds,04d
1489935600,2017-03-19 15:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,294.24,294.14,294.15,294.567,1025,,,78,3.6,200,,,,,90,804,Clouds,overcast clouds,04d
1489939200,2017-03-19 16:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,295.51,295.84,294.85,296.385,1025,,,73,3.09,200,,,,,75,803,Clouds,broken clouds,04d
1489942800,2017-03-19 17:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,296.91,296.17,296.15,297.55,1025,,,65,4.33,197,,,,,40,802,Clouds,scattered clouds,03d
1489946400,2017-03-19 18:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,298.96,298.91,298.15,299.25,1024,,,56,3.1,0,,,,,20,801,Clouds,few clouds,02d
1489950000,2017-03-19 19:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,299.67,299.66,299.15,300.35,1024,,,54,3.09,190,,,,,1,800,Clear,sky is clear,01d
1489953600,2017-03-19 20:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,300.72,300.38,300.107,301.15,1023,,,51,3.6,190,,,,,1,800,Clear,sky is clear,01d
1489957200,2017-03-19 21:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,300.97,299.99,300.15,301.45,1022,,,48,4.12,190,,,,,1,800,Clear,sky is clear,01d
1489960800,2017-03-19 22:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,301.27,300.38,300.15,302.15,1021,,,45,3.6,190,,,,,1,800,Clear,sky is clear,01d
1489964400,2017-03-19 23:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,300.98,300.01,300.15,301.45,1021,,,48,4.12,190,,,,,1,800,Clear,sky is clear,01d
1489968000,2017-03-20 00:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,299.87,298.77,299.15,300.15,1021,,,50,4.1,190,,,,,1,800,Clear,sky is clear,01d
1489971600,2017-03-20 01:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,296.94,297.1,294.85,298.396,1021,,,54,1.54,0,,,,,1,800,Clear,sky is clear,01n
1489975200,2017-03-20 02:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,295.6,296.33,294.15,297.649,1021,,,65,1.54,190,,,,,1,800,Clear,sky is clear,01n
1489978800,2017-03-20 03:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.58,293.96,291.15,295.35,1022,,,69,1.54,200,,,,,1,800,Clear,sky is clear,01n
1489982400,2017-03-20 04:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,294.21,294.04,293.15,295.35,1022,,,73,3.09,0,,,,,1,800,Clear,sky is clear,01n
1489986000,2017-03-20 05:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.81,294.13,293.15,294.85,1022,,,81,3.1,180,,,,,75,803,Clouds,broken clouds,04n
1489989600,2017-03-20 06:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.79,294.35,292.967,294.25,1022,,,84,3.1,0,,,,,90,804,Clouds,overcast clouds,04n
1489993200,2017-03-20 07:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.64,293.7,293.11,294.15,1022,,,83,3.6,180,,,,,90,804,Clouds,overcast clouds,04n
1489996800,2017-03-20 08:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.62,294.4,292.96,294.15,1021,,,83,2.57,0,,,,,90,804,Clouds,overcast clouds,04n
1490000400,2017-03-20 09:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,292.85,292.24,292.15,293.15,1021,,,83,4.12,200,,,,,90,804,Clouds,overcast clouds,04n
1490004000,2017-03-20 10:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,292.5,292.84,291.606,293.15,1020,,,83,2.57,0,,,,,90,804,Clouds,overcast clouds,04n
1490007600,2017-03-20 11:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.31,291.19,291.15,291.71,1020,,,88,3.09,0,,,,,40,802,Clouds,scattered clouds,03n
1490011200,2017-03-20 12:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.12,290.99,290.95,291.586,1020,,,89,3.1,0,,,,,40,802,Clouds,scattered clouds,03n
1490014800,2017-03-20 13:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.16,290.98,290.942,291.45,1021,,,88,3.09,200,,,,,90,804,Clouds,overcast clouds,04d
1490018400,2017-03-20 14:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,291.42,292.42,290.95,292.55,1022,,,88,1.54,0,,,,,20,801,Clouds,few clouds,02d
1490022000,2017-03-20 15:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,293.16,293.03,292.15,294.442,1022,,,83,3.6,210,,,,,40,802,Clouds,scattered clouds,03d
1490025600,2017-03-20 16:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,295.91,296.03,295.15,296.45,1023,,,65,2.57,210,,,,,20,801,Clouds,few clouds,02d
1490029200,2017-03-20 17:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,297.39,296.95,297.15,297.761,1022,,,61,3.6,200,,,,,1,800,Clear,sky is clear,01d
1490032800,2017-03-20 18:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,298.96,298.56,298.15,299.291,1022,,,56,3.6,200,,,,,1,800,Clear,sky is clear,01d
1490036400,2017-03-20 19:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,300.09,299.17,299.15,301.15,1021,,,51,4.12,200,,,,,1,800,Clear,sky is clear,01d
1490040000,2017-03-20 20:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,301.24,301.08,300.15,302.15,1020,,,48,3.09,0,,,,,1,800,Clear,sky is clear,01d
1490043600,2017-03-20 21:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,301.92,300.89,301.15,302.55,1019,,,45,4.12,190,,,,,1,800,Clear,sky is clear,01d
1490047200,2017-03-20 22:00:00 +0000 UTC,-18000,Custom location,30.2571,-97.746842,301.79,300.43,301.15,302.15,1018,,,40,3.6,200,,,,,1,800,Clear,sky is clear,01d
